,Name,Cuisine_Type,Rating,Review_Count
99,Zed restaurant,"['Spanish', 'Healthy']",4.5,702
100,La Peninsular,"['Seafood', 'Mediterranean']",4.5,2989
101,Madre Taberna Moderna,"['Mediterranean', 'Spanish']",4.5,344
102,Bella Venezia,['Italian'],5.0,102
103,Casa Cheli,"['Mediterranean', 'European']",5.0,218
104,Casa Bangla,"['Indian', 'Bangladeshi']",4.5,5
105,Santa Rita Experience,"['Mediterranean', 'Spanish']",5.0,507
106,Sato I Tanaka,"['Japanese', 'Sushi']",5.0,143
107,Kserol,"['Bar', 'International']",4.5,402
108,Hungaryto,['Hungarian'],4.5,427
109,Cellarer Wine Bar,"['Mediterranean', 'European']",5.0,325
110,Fan Dim Sum,"['Chinese', 'Asian']",4.5,51
111,Restaurant Junca,"['Bar', 'Grill']",5.0,7
112,Tandoori Nights,"['Indian', 'Healthy']",4.5,1006
113,bicos,"['Mediterranean', 'European']",5.0,515
114,Teoric Taverna Gastronomica,"['Mediterranean', 'European']",5.0,1020
115,Jefferson,"['Bar', 'Mediterranean']",4.5,960
116,Colom,"['Bar', 'Seafood']",4.5,8391
117,La Cervesera Artesana,"['Bar', 'Pub']",4.0,189
118,Restaurante Renoi,"['Mediterranean', 'Spanish']",5.0,209
119,Tapa Tapa C.C Glories,"['Mediterranean', 'European']",4.5,737
120,Dual Cafe,"['Cafe', 'International']",5.0,192
121,GiGi von tapas,"['Mediterranean', 'European']",5.0,190
122,Almalibre Acai House Barcelona,['Healthy'],5.0,128
123,Bella Venezia,['Italian'],5.0,102
124,Buenos Aires Grill Restaurant,"['Steakhouse', 'Latin']",4.5,3561
125,En Diagonal Bar,"['Cafe', 'Mediterranean']",4.5,757
126,Arcano,"['Mediterranean', 'European']",4.5,3832
127,Vai Moana,"['Bar', 'Mediterranean']",4.5,1689
128,Tast-Ller,['Mediterranean'],4.5,855
129,Casa Bangla,"['Indian', 'Bangladeshi']",4.5,5
130,La Piazzetta GranVia,"['Italian', 'Pizza']",4.5,317
131,Bo Kaap,"['Cafe', 'Fusion']",4.5,830
132,Restaurante Fastuc,"['Italian', 'Mediterranean']",4.5,147
133,The Box,"['Mexican', 'Colombian']",4.5,1097
134,Bordeaux - Cuina Oberta,"['Fusion', 'Mediterranean']",4.5,340
135,Sushi Yoi,"['Japanese', 'Sushi']",5.0,1
136,Andele Santa Fe,"['Mexican', 'Latin']",4.5,332
137,Clemen' s Boqueria,['Catalan'],4.5,551
138,Rossini,"['Italian', 'Pizza']",4.5,5086
139,Cera 23,"['Mediterranean', 'European']",4.5,5160
140,Gallo Nero,"['Pub', 'Wine Bar']",4.5,483
141,Malaysian Street Delights,"['Chinese', 'Asian']",5.0,22
142,Gran Viana,"['International', 'Spanish']",5.0,555
143,Tucco Real Food Born,"['Italian', 'Mediterranean']",4.5,1468
144,Ostaia Cucina Italiana,['Italian'],4.5,293
145,Tomasso - New York Pizza,['Pizza'],4.5,323
146,Oporto Restaurante,"['Mediterranean', 'European']",4.5,927
147,Fan Dim Sum,"['Chinese', 'Asian']",4.5,51
148,Fan Dim Sum,"['Chinese', 'Asian']",4.5,51
149,Can Valles,"['Mediterranean', 'European']",4.5,905
150,Eat Caribbean Barcelona,"['African', 'Caribbean']",4.5,327
151,Pizzeria Da Nanni Tallers,"['Pizza', 'Fast Food']",5.0,168
152,Bambu Beach Bar,"['Bar', 'Mediterranean']",4.5,1283
153,Argentinisimo,"['Steakhouse', 'Latin']",4.5,644
154,Jay's Japanese,['Japanese'],5.0,54
155,El Xampanyet,"['Spanish', 'Catalan']",4.5,2762
156,Guelly sandwichpark,['Fast Food'],4.5,220
157,Lascar 74,"['Seafood', 'Fusion']",4.5,436
158,65 Degrees Barcelona,"['Bar', 'Mediterranean']",4.5,202
159,Vivo Tapas,"['Spanish', 'Healthy']",4.5,2634
160,Bella Venezia,['Italian'],5.0,102
161,Ristorante Pizzeria Eden,"['Italian', 'Pizza']",4.5,718
162,La Deliciosa,"['Bar', 'Mediterranean']",4.5,2061
163,Restaurante Terra Mia,"['Italian', 'Mediterranean']",4.5,506
164,Donizetti,"['Italian', 'Mediterranean']",4.5,634
165,Alquimia Barcelona,"['Mediterranean', 'Spanish']",5.0,266
166,La Cervesera Artesana,"['Bar', 'Pub']",4.0,189
167,Marisqueria Esthvan,"['Seafood', 'Mediterranean']",4.5,244
